School,State,Coach
LaSalle University,PA,Amanda Enwright
Le Moyne College,NY,Nicolle Madonna
Lebanon Valley College,PA,Cheryl Keller
Lehigh University,PA,Marisa Kalmar
Lenoir Rhyne University,NC,Sarah Klassett
Liberty University,VA,Jim Arrigon
Linn-Benton Community College,OR,Dawn Salazar-Ross
Long Island University -  Post,NY,Brooke Chasin
Longwood University,VA,K.C. Meadows
Louisiana State University,LA,Leaf Boswell
Lycoming College,PA,Margaret Hervey
Lynchburg College,VA,Mimi Wroten
Marist College,NY,Clare Knapp
Martin Community College,NC,Carey Stewart
Mary Baldwin College,VA,Donal Oldaker
Maryville College,TN,Christen Khym
Mercyhurst College,PA,Halli Bidwell
Miami University of Ohio,OH,Heather Pinnick
Michigan State University,MI,Leesa Massman
Middle Tennessee State University,TN,Anne Brzezicki
Middlebury College,VT,Kate Selby
Midway University,KY,Robin Gollehon
Millersville University,PA,Heidi Douts
Mississippi College,MS,Christina Davey
Mississippi State University,MS,Ashley Shiffler
Missouri State University,MO,Susan Webb
Molloy College,NY,Carole Gerrity
Montana State University,MT,Amy Morgan
Montana State University Billings,MT,Robert Auch
Moravian College,PA,Jessica Brittain
Morehead State University,KY,Erin LeCompt
Morrisville State College,NY,Erin Dunn
Mount Holyoke College,MA,Carol (C. J.) Law
Mount Ida College,MA,Mary Beth McGee
Mt. San Antonio College,CA,Dawn Waters
Mt. St. Mary's University,MD,Janis Groomes
Murray State University,KY,Sue Robinson
Nazareth College of Rochester,NY,Terese Bouchard
New York University,NY,Ashton Phillips
North Carolina State University,NC,Sara Conversano
North Central Texas College,TX,Bill Kaven
North Dakota State University,ND,Tara Swanson
Northeastern Oklahoma A&M; College,OK,Amanda Burrows
Northeastern University,MA,Ashley Pimentel
Northern Arizona University,AZ,Julie Golden
Northern Illinois University,IL,Joleen DeWitt
Northern Kentucky University,KY,Lynlee Foster
Northwestern University,IL,Sara Timmis
Norwich University,VT,Rita Towne
Nova Southeastern University,FL,Jackie George
Oakland University,MI,Aimee Latsch
Oberlin College,OH,Ric Weitzel
Ohio State University,OH,Ollie Griffith
Ohio University,OH,Karen Hiehle
Ohio Wesleyan University,OH,Linda Dare
Oklahoma Panhandle State University,OK,Malissa Meyer
Old Dominion University,VA,Kasey Evans
Oneonta State College,NY,Joycelyn Northup
Oregon State University,OR,Dawn Ross
Otterbein University,OH,Tenley Struhs
Parkland College,IL,Megan Tyler
Penn State Berks Equestrian Club,PA,Rebecca Weik
Penn State Erie - The Behrend College,PA,Lew Trumble
Penn State Harrisburg,PA,Alida Burkholder
Penn State University,PA,Kerry Kocher
Post University,CT,Justin Gregory
Princeton University,NJ,Ashton Phillips
Purdue University,IN,Gerald Steinmetz
Purdue University Calumet,IN,Alexandra Moran
Purdue University North Central,IN,Jennifer Turner
Radford University,VA,Kimberly Huffman
Randolph College,VA,Christopher Mitchell
Randolph-Macon College,VA,John West
Redlands Community College,OK,Dedra Baker
Reedley College,CA,christina marin
Rensselaer Polytechnic Institute,NY,Megan Rogers
Rhode Island College,RI,Dana Stark
Rice University,TX,Cathy Strobel
Rider University,NJ,Andrea Hart-Sagolla
Ripon College,WI,Mary Avery
Roanoke College,VA,Carolyn Williams
Rochester Institute of Technology,NY,Gail Miller
Rocky Mountain College,MT,Chris Brown
Roger Williams University,RI,Ted Torrey
Rollins College,FL,Suzanne Muchow
Rowan University,NJ,Ariel Frattaroli
Rutgers University,NJ,Kelly Lamont-Francfort
Sacred Heart University,CT,Tiffany Hajdasz
Saginaw Valley State University,MI,Nancy Bellor
Saint Leo University,FL,Grant Pennington
Saint Louis University,MO,Jodi Gold
Saint Mary's College,IN,Julie Harnish
Saint Vincent College,PA,Veronica Ent
Salem College,NC,Michelle Hargreaves
Salisbury University,MD,Amy Walls
Salve  Regina University,RI,Patrick March
Santa Clara University,CA,Nicole Abercrombie
Sarah Lawrence College,NY,Lori Rakoczy
Savannah College of Art and Design,GA,Ashley Henry
Seton Hill University,PA,Rebecca Bloom
Shippensburg University,PA,Mary Bast
Siena College,NY,Nora Hanlon
Skidmore College,NY,Cindy Ford
Slippery Rock University,PA,Amy Keefer
Smith College,MA,Suzanne Payne
Sonoma State University,CA,Michelle Davis
Southeast Missouri State University,MO,SuAnne Remley
Southern Illinois University Carbondale,IL,Jill O'Donoghue
Southern Nazarene University,OK,Natalie Freeman
Springfield College,MA,Dani Corkill
St Cloud State University,MN,Samantha Cotter
St. Andrews University,NC,Peggy McElveen
St. Joseph's College,NY,sheila Rodgers
St. Lawrence University,NY,Mary Drueding
St. Mary-of-the-Woods College,IN,Sara Schulz
St. Marys College of Maryland,MD,Leslie Allen
Stanford University,CA,Vanessa Bartsch
State University of New York at New Paltz,NY,Susan Clark
State University of New York at Oswego,NY,Jillian Bergstresser
Stetson University,FL,Beth Collier
Stevens Institute of Technology,NJ,Patti Zwaan
Stockton University,NJ,Stephanie Morrongiello
Stonehill College,MA,kristen redquest
Stony Brook University,NY,Myrna Treuting
Suffolk County Community College,NY,deborah rittereiser
SUNY Albany,NY,Tracy James-Pedersen
SUNY Cobleskill,NY,Ray Whelihan
SUNY Geneseo,NY,Kim Sanford
Susquehanna University,PA,Jan Phillips
Sweet Briar College,VA,Mimi Wroten
Syracuse University,NY,Denise Van Patten
Tarleton State University,TX,Annie Penrice
Taylor University,IN,Margaret Boyle
Temple University,PA,Jenn Post
Tennessee Tech University,TN,Becky Huddleston
Texas A&M; University-Commerce,TX,Brooke Harris
Texas State University-San Marcos,TX,Katherine Deichmann
Texas Tech University,TX,Lindsey Jones
The University of Akron,OH,Laura Hearty
The University of Oklahoma,OK,Laura Hoover
The University of the South,TN,Allie Truitt
Thiel College,PA,Jenna Malnar
Tiffin Univeristy,OH,Julie Vogel
Towson University,MD,Sandy Weinreich
Transylvania University,KY,Tanya Davis
Trinity College,CT,Amy Kriwitsky
Trinity University,TX,Stephanie Cook
Truman State University,MO,Emily Costello
